customer_id,region,channel,membership,category_pref,device,tenure_months,visits_month,purchases_90d,aov_clp,total_spend_90d_clp,return_count_90d,rating_avg,days_since_last_purchase,repurchase_30d
1,RM,Email,No,Moda,Mobile,23,22,1,25168.0,41043,0,4.3,27,0
2,Los Lagos,Email,No,Deportes,Mobile,7,12,1,25664.0,23626,0,4.0,2,0
3,Biobío,Ads,Sí,Tecnología,Mobile,19,34,3,70288.0,216424,0,4.0,89,1
4,Valparaíso,Referral,No,Tecnología,Mobile,18,5,0,,8178,0,,203,0
5,RM,Organic,Sí,Moda,Mobile,21,31,2,30409.0,56621,0,4.5,86,0
6,RM,Organic,No,Belleza,Desktop,19,24,0,,0,0,4.2,147,0
7,RM,Email,Sí,Hogar,Mobile,22,27,2,29223.0,56608,0,4.4,3,0
8,Araucanía,Ads,Sí,Hogar,Mobile,15,24,2,35039.0,61258,1,4.1,1,0
9,Valparaíso,Email,No,Moda,Desktop,19,9,0,,1301,0,4.3,127,0
10,Biobío,Email,No,Belleza,Desktop,6,17,1,22161.0,14140,0,4.3,25,1
11,RM,Organic,No,Deportes,Desktop,15,21,2,44498.0,93448,0,4.5,0,1
12,Los Lagos,Email,Sí,Belleza,Desktop,32,33,1,20929.0,15195,0,4.5,93,0
13,Araucanía,Ads,No,Tecnología,Desktop,21,13,0,,0,0,4.2,60,0
14,RM,Ads,No,Tecnología,Mobile,18,15,1,56205.0,60200,0,4.2,11,0
15,RM,Ads,No,Moda,Mobile,37,18,1,29963.0,35047,0,3.7,23,0
16,RM,Referral,No,Deportes,Mobile,4,6,1,34859.0,39579,0,4.5,59,0
17,RM,Organic,No,Tecnología,Mobile,7,31,1,69362.0,71471,0,4.0,2,0
18,Valparaíso,Ads,No,Tecnología,Mobile,35,36,2,67497.0,126301,1,3.9,12,0
19,RM,Ads,No,Deportes,Mobile,18,12,1,35913.0,35661,0,3.9,11,0
20,RM,Ads,Sí,Tecnología,Mobile,16,50,0,,0,0,3.9,132,0
21,Valparaíso,Ads,No,Hogar,Mobile,6,19,1,28542.0,25176,0,3.8,51,0
22,RM,Organic,No,Hogar,Mobile,22,25,0,,593,0,3.7,53,0
23,RM,Organic,Sí,Moda,Desktop,23,31,0,,0,0,,142,0
24,RM,Organic,Sí,Deportes,Mobile,7,4,0,,0,0,,70,1
25,Valparaíso,Email,Sí,Hogar,Desktop,17,23,1,26886.0,24488,0,4.2,28,1
26,Araucanía,Organic,No,Moda,Mobile,15,9,0,,0,0,,30,0
27,RM,Organic,No,Moda,Desktop,21,4,0,,0,0,4.3,139,0
28,Valparaíso,Referral,No,Moda,Desktop,7,18,0,,0,0,3.9,46,0
29,Valparaíso,Organic,Sí,Moda,Mobile,31,29,0,,10738,0,4.7,34,0
30,RM,Referral,No,Tecnología,Mobile,27,11,0,,918,0,,85,0
31,Valparaíso,Ads,No,Tecnología,Mobile,14,23,1,56804.0,71303,0,4.4,54,0
32,RM,Email,No,Tecnología,Desktop,16,32,3,53340.0,450830,0,4.2,0,1
33,RM,Organic,No,Tecnología,Desktop,17,14,1,37201.0,47038,0,4.0,25,0
34,Los Lagos,Organic,No,Hogar,Desktop,10,7,0,,0,0,4.0,41,0
35,Los Lagos,Ads,No,Deportes,Mobile,14,27,1,38565.0,49853,0,4.1,76,0
36,Araucanía,Email,No,Moda,Mobile,15,13,0,,0,0,4.6,89,0
37,RM,Ads,No,Deportes,Desktop,34,13,0,,0,0,4.5,169,0
38,RM,Organic,Sí,Hogar,Mobile,27,19,1,37940.0,34577,0,3.7,93,0
39,Biobío,Email,Sí,Hogar,Mobile,27,21,1,39826.0,37022,0,4.3,1,0
